family_id,n_2024,n_2026,entered_top20,exited_top20,stable_top20
0,3955,9085,"complex, data science, frameworks, knowledge, ml, model, platform, platforms, product, sql, workflows","ai, azure, including, management, models, requirements, teams, technologies, using, working, years experience","analysis, analytics, cloud, learning, machine, machine learning, related, software, support"
1,1571,2001,"best, best practices, develop, ensure, hands-on, manage, monitoring, platform, platforms, reliability, required","automation, code, devops, including, kubernetes, practices, requirements, security, support, understanding, using","ability, application, applications, architecture, azure, data, environment, working, years experience"
2,1196,1138,"applications, communication, environment, performance, security clearance, using","ability, including, integration, product, software development, tools","clearance, code, control, data, developing, embedded, firmware, hardware, knowledge, linux, management, security, solutions, working"
3,1572,721,"apis, architecture, cloud, including, microservices, net, performance, practices, support, team, tools, web","azure, business, code, framework, java, required, requirements, server, services, strong, systems, years experience","ability, application, data, solutions, spring, technical, technologies, working"
4,813,955,"complex, develop, engineers, frontend, js, ll, modern, quality, services, stack, support, testing, web","ability, cloud, data, developer, engineering, new, product, requirements, systems, teams, technologies, tools, working","business, including, knowledge, platform, react, salesforce, understanding"
5,399,1203,"access, ai, build, cloud security, compliance, controls, detection, enterprise, identity, platform, response, services","architecture, azure, business, data, environment, information, practices, related, secure, technology, working, years experience","application, aws, code, cybersecurity, network, product, risk, testing"
6,766,761,"agile, api, business, ci/cd, functional, integration, issues, java, practices, preferred, processes, scripts, selenium, solutions, tests","ability, cases, data, develop, engineering, ensure, frameworks, including, product, project, required, systems, teams, working, years experience","management, plans, technical, test automation, test cases"
7,371,518,"application, apps, backend, best practices, engineer, engineers, including, knowledge, kotlin, ll, platform, quality, swift, systems, tools","ability, best, build, developer, engineering, new, performance, practices, product, teams, technical, technologies, understanding, using, years experience","native, react, react native, testing, working"
8,515,230,"application, applications, customers, delivery, needs, preferred, required, sales, software, standards, technologies","client, ensure, information, infrastructure, integration, new, platform, processes, project, services, using","architectural, cloud, customer, implementation, practices, product, security, service, servicenow"
9,445,255,"application, components, engineers, existing software, implement, integration, position, programs, quality, software components, strong, technologies, understanding","analyst, and/or, code, ensure, level, preferred, process, software development, standards, teams, tools, user, years experience","engineering, existing, issues, performance, programming, technology, working"
